corId,corpus
0,The assets of Marble Faun Publishing Company suffered last quarter when one of their main local distributors went out of business.
1,lndie film director Luke Steele will be in London for the premiere of his new movie.
2,Laboratory employees are expected to wear a name tag and carry identification at all times.
3,The latest training guide contains tips on teaching a second language to international students:
4,"Once you have your resume with references and qualifications , please submit it to the Human Resources Department on the 3rd floor."
5,Ursa Major Corp. has recently negotiated a deal with a Russian competitor in surveying the Kamchatka Peninsula.
6,Ms. Cho relayed her concerns about the company's financial situation while she was having a meeting with the manager.
7,Whether it is necessary to register for a student discount card depends on the needs of the individual.
8,Even experienced clerks are encouraged to attend training sessions to keep them updated on new ideas in the world of banking.
9,Workers are advised not to operate certain machines by themselves .
10,. The construction of a discount department store was delayed by the protests of several members of the community.
11,Ms. Maria Perreira is largely responsible for some of our company's most successful marketing campaigns.
12,Mr. Singh requested estimates from several catering companies before making his decision.
13,"Our apartment building's occupancy increased due to the efforts of our knowledgeable and friendly rental agent, Ms. Gova."
14,Those employees wishing to change departments within the company may send their inquiries to Mr. Alvarez.
15,"The New Economic Quarterly criticized the quality of all new products produced by Yun Sung Industrial Co., Ltd."
16,One of the leading international research facilities in botany is located at the Hoskin Museum of Natural History.
17,"In order to ensure customer safety, the government has instituted a new set of guidelines for pharmaceutical companies."
18,"Welton Textiles Inc. made a net profit of $ million, allowing it to fund its expansion across the continent."
19,Our ambitious production goals will be directed by a skilled team of qualified managers.
20,Prattchet Co. has increasingly turned to making most of its products from recycled materials.
21,Maintaining our financial goals for this year may require cutting back on some overhead costs.
22,Heidelberg Publishing Co. offers employees with performance bonuses to encourage success.
23,An anniversary dinner was held exclusively for high-ranking officials in the corporation.
24,"When contacting our Human Resources Department by phone, please include your contact information."
25,"Because of the added guests from our allied financial firm, a more spacious meeting room had to be used than usual."
26,"Ms. Richards has been an exceptionally energetic member of the marketing team, providing Billingsgate Enterprises with great service for nine years."
27,"Despite his falling out with his former employer, Mr. Lee still meets with some of his old co-workers from time to time."
28,The chief financial officer of Waterhouse Inc. is expressing appreciation concerning his predecessor's informative advice.
29,"Since opening last year, Savannah Safari Park quickly became one of the leading recreational spots in the region."
30,". Ms. Gamble, who was an influential literary critic in the s, is now a contributing writer to the National Gazette newspaper."
31,Remember to list fixed expenses separately from variable expenses.
32,The loss of our foreign manufacturing plants may be a probable outcome of the new plans being implemented.
33,New government regulations concerning the chemicals in cleaning solutions mean that the solvents must be as environmentally safe as possible.
34,Ms. Stanhope always tries to consult her colleagues on the budget.
35,Rosalind Media Ltd. came up with the idea to hire artists to create original artworks for the purpose of marketing.
36,The CEO of Lawrence United Co. is still uncertain about opening company branches in Mexico.
37,The intention of Mr. Alex Hartham was to initiate a merger with Culford International.
38,"The staff lounge is near the meeting room, across the hall from the computer lab."
39,The manager granted Mr. Karnes a promotion because of his successful handling of the company's accounting for the past two years.
40,"The awards ceremony will begin at approximately 6:00 this evening, at which time winners are requested to be present to receive their awards."
41,"For defective merchandise, we will gladly replace the product or give you a full refund."
